East Finchley,Finchley Central,18
Brixton,Stockwell,37
Totteridge and Whetstone,Woodside Park,9
Aldgate East,Whitechapel,4
Leyton,Stratford,43
Belsize Park,Hampstead,0
Ealing Broadway,West Acton,7
Battersea Power Station,Nine Elms,2
Barkingside,Newbury Park,21
Ravenscourt Park,Stamford Brook,4
Waterloo,Westminster,19
Holland Park,Shepherds Bush,5
Burnt Oak,Colindale,46
Preston Road,Wembley Park,9
Wimbledon,Wimbledon Park,31
Arsenal,Finsbury Park,9
Green Park,Oxford Circus,5
Kew Gardens,Richmond,6
Edgware Road (Bakerloo),Marylebone,0
Blackhorse Road,Walthamstow Central,79
Euston,Mornington Crescent,10
Finsbury Park,Seven Sisters,54
Green Park,Piccadilly Circus,8
Royal Oak,Westbourne Park,3
Ealing Broadway,Ealing Common,15
Source Station,Target Station,Weight
Oxford Circus,Regents Park,1
Barkingside,Newbury Park,26
Kilburn,Willesden Green,13
Ladbroke Grove,Latimer Road,1
Blackhorse Road,Tottenham Hale,48
Gunnersbury,Turnham Green,9
Earls Court,West Kensington,27
East Putney,Southfields,10
Burnt Oak,Edgware,24
Finchley Central,Mill Hill East,8
Rayners Lane,South Harrow,14
High Street Kensington,Notting Hill Gate,7
Colliers Wood,Tooting Broadway,34
Shepherds Bush Market,Wood Lane,4
Buckhurst Hill,Loughton,3
Hanger Lane,Perivale,7
Kings Cross St. Pancras,Russell Square,11
Northfields,South Ealing,4
Finsbury Park,Manor House,15
Bow Road,Mile End,6
Knightsbridge,South Kensington,2
Harrow and Wealdstone,Kenton,16
Turnpike Lane,Wood Green,36
Stockwell,Vauxhall,22
Ruislip,Ruislip Manor,4
Kennington,Oval,11
Southfields,Wimbledon Park,12
Colindale,Hendon Central,42
Oxford Circus,Warren Street,8
Cannon Street,Mansion House,1
Earls Court,West Brompton,15
South Harrow,Sudbury Hill,9
Stamford Brook,Turnham Green,8
Chancery Lane,St. Pauls,0
Ickenham,Ruislip,0
Roding Valley,Woodford,6
Debden,Theydon Bois,6
Redbridge,Wanstead,3
Greenford,Perivale,14
Maida Vale,Warwick Avenue,1
Pimlico,Vauxhall,8
North Harrow,Pinner,3
North Wembley,South Kenton,11
Kingsbury,Wembley Park,23
Bromley-by-Bow,West Ham,10
Croxley,Moor Park,2
Acton Town,Turnham Green,17
Elephant and Castle,Kennington,8
Brent Cross,Golders Green,9
Harrow-on-the-Hill,West Harrow,11
Amersham,Chalfont and Latimer,4
Lancaster Gate,Queensway,0
Hatton Cross,Hounslow West,21
Kew Gardens,Richmond,7
Embankment,Temple,5
Preston Road,Wembley Park,14
East Putney,Putney Bridge,8
Monument,Moorgate,19
Harrow-on-the-Hill,Northwick Park,13
St. Johns Wood,Swiss Cottage,3
Covent Garden,Leicester Square,1
St. Jamess Park,Westminster,4
Arsenal,Holloway Road,1
North Acton,West Acton,5
Belsize Park,Chalk Farm,1
Heathrow Terminal 5,Heathrow Terminals 1 2 3,16
Farringdon,Kings Cross St. Pancras,6
Upminster,Upminster Bridge,9
Angel,Old Street,2
Harlesden,Willesden Junction,17
Canning Town,West Ham,46
Euston Square,Kings Cross St. Pancras,10
Gants Hill,Newbury Park,29
Pimlico,Victoria,8
Ealing Broadway,Ealing Common,21
Leyton,Leytonstone,24
Brixton,Stockwell,26
Plaistow,Upton Park,26
Leicester Square,Tottenham Court Road,3
Aldgate East,Tower Hill,9
Grange Hill,Hainault,11
Chigwell,Roding Valley,0
Clapham Common,Clapham North,12
Acton Town,Chiswick Park,10
Royal Oak,Westbourne Park,4
Bethnal Green,Mile End,10
Embankment,Westminster,7
Green Park,Oxford Circus,8
Blackhorse Road,Walthamstow Central,83
Ruislip Gardens,South Ruislip,7
Monument,Waterloo,23
Hillingdon,Ickenham,2
Lancaster Gate,Marble Arch,0
Dagenham East,Elm Park,21
Cockfosters,Oakwood,13
Manor House,Turnpike Lane,23
Camden Town,Euston,14
Holborn,Tottenham Court Road,12
Croxley,Watford,3
Alperton,Sudbury Town,7
Holborn,Russell Square,2
Leytonstone,Snaresbrook,9
Hyde Park Corner,Knightsbridge,1
Baker Street,Marylebone,1
East Finchley,Finchley Central,12
Green Park,Victoria,21
Paddington,Warwick Avenue,14
Leicester Square,Piccadilly Circus,6
Dollis Hill,Neasden,14
East Acton,White City,3
Kilburn Park,Queens Park,5
Green Park,Piccadilly Circus,5
Oxford Circus,Tottenham Court Road,9
Canons Park,Stanmore,12
Highbury and Islington,Kings Cross St. Pancras,9
Green Park,Westminster,2
Baker Street,Bond Street,1
Boston Manor,Osterley,5
Baker Street,Great Portland Street,2
Dollis Hill,Willesden Green,8
Arnos Grove,Southgate,18
Fulham Broadway,Parsons Green,5
Angel,Kings Cross St. Pancras,10
Euston,Kings Cross St. Pancras,30
Barons Court,Earls Court,12
Harrow-on-the-Hill,North Harrow,8
Embankment,Waterloo,24
Burnt Oak,Colindale,51
Hounslow Central,Hounslow East,12
Lambeth North,Waterloo,10
Bayswater,Notting Hill Gate,2
Monument,Cannon Street,1
Bounds Green,Wood Green,38
North Wembley,Wembley Central,27
Kilburn,West Hampstead,4
Hillingdon,Uxbridge,6
Bond Street,Marble Arch,4
Hatton Cross,Heathrow Terminal 4,29
Green Park,Hyde Park Corner,4
Greenford,Northolt,35
Dagenham East,Dagenham Heathway,20
Battersea Power Station,Nine Elms,2
Arsenal,Finsbury Park,14
Southwark,Waterloo,10
Bermondsey,London Bridge,16
Balham,Clapham South,13
Charing Cross,Embankment,4
West Finchley,Woodside Park,6
Borough,London Bridge,16
Oval,Stockwell,13
Hounslow East,Osterley,9
Barking,Upney,50
Tooting Bec,Tooting Broadway,35
Oxford Circus,Piccadilly Circus,6
Blackfriars,Temple,3
East Acton,North Acton,6
Borough,Elephant and Castle,2
Bayswater,Paddington,14
Charing Cross,Leicester Square,12
Chalfont and Latimer,Chesham,3
Northwood,Northwood Hills,2
Kennington,Nine Elms,4
Finchley Central,West Finchley,5
Chiswick Park,Turnham Green,6
Moor Park,Northwood,1
Kingsbury,Queensbury,21
Fairlop,Hainault,13
Chorleywood,Rickmansworth,2
Leytonstone,Wanstead,14
Northwick Park,Preston Road,5
Clapham North,Stockwell,24
Seven Sisters,Tottenham Hale,45
Goodge Street,Warren Street,2
Gloucester Road,South Kensington,5
Barking,East Ham,82
Chigwell,Grange Hill,1
Earls Court,Gloucester Road,16
Oakwood,Southgate,20
Bond Street,Oxford Circus,5
Morden,South Wimbledon,31
Baker Street,Finchley Road,8
Sloane Square,South Kensington,2
Barkingside,Fairlop,7
Ravenscourt Park,Stamford Brook,3
Monument,St. Pauls,1
East Finchley,Highgate,8
Edgware Road (Bakerloo),Marylebone,0
Acton Town,Ealing Common,9
Hanger Lane,North Acton,8
Aldgate East,Whitechapel,7
Mile End,Stratford,73
Monument,Liverpool Street,37
Earls Court,Kensington (Olympia),3
Parsons Green,Putney Bridge,7
Snaresbrook,South Woodford,2
Canada Water,Canary Wharf,9
Finchley Road,West Hampstead,9
Barbican,Farringdon,4
Aldgate East,Liverpool Street,29
Epping,Theydon Bois,11
High Barnet,Totteridge and Whetstone,11
Elephant and Castle,Lambeth North,3
Sloane Square,Victoria,10
Bethnal Green,Liverpool Street,15
Bow Road,Bromley-by-Bow,6
Gants Hill,Redbridge,19
Colliers Wood,South Wimbledon,23
Plaistow,West Ham,22
London Bridge,Southwark,10
Leyton,Stratford,54
Balham,Tooting Bec,16
Kentish Town,Tufnell Park,4
Brent Cross,Hendon Central,17
Bermondsey,Canada Water,11
Totteridge and Whetstone,Woodside Park,11
Hatton Cross,Heathrow Terminals 1 2 3,32
Blackfriars,Mansion House,2
Eastcote,Rayners Lane,6
Archway,Highgate,8
Camden Town,Mornington Crescent,2
Canary Wharf,North Greenwich,23
Clapham Common,Clapham South,16
Baker Street,Regents Park,1
Finchley Road,Wembley Park,13
Finchley Road,Swiss Cottage,0
Archway,Tufnell Park,9
St. Jamess Park,Victoria,6
Kensal Green,Queens Park,3
Arnos Grove,Bounds Green,19
Bond Street,Green Park,2
Canons Park,Queensbury,29
Euston Square,Great Portland Street,2
Stepney Green,Whitechapel,3
Acton Town,South Ealing,10
Aldgate,Tower Hill,1
Becontree,Upney,18
Goodge Street,Tottenham Court Road,1
Charing Cross,Piccadilly Circus,8
Caledonian Road,Holloway Road,1
South Woodford,Woodford,16
Golders Green,Hampstead,7
Debden,Loughton,6
Ladbroke Grove,Westbourne Park,4
Finsbury Park,Highbury and Islington,10
Rayners Lane,West Harrow,3
Kilburn Park,Maida Vale,2
Monument,London Bridge,24
Holland Park,Shepherds Bush,5
Wimbledon,Wimbledon Park,36
Boston Manor,Northfields,7
Chancery Lane,Holborn,2
Hounslow Central,Hounslow West,12
Caledonian Road,Kings Cross St. Pancras,12
Canning Town,North Greenwich,32
Becontree,Dagenham Heathway,29
Barbican,Moorgate,8
Northwood Hills,Pinner,3
Liverpool Street,Moorgate,39
Northolt,South Ruislip,13
Fulham Broadway,West Brompton,7
Stratford,West Ham,107
Elm Park,Hornchurch,16
East Ham,Upton Park,52
Euston,Mornington Crescent,5
Edgware Road (Bakerloo),Paddington,12
Kensal Green,Willesden Junction,15
Heathrow Terminal 4,Heathrow Terminals 1 2 3,20
Hornchurch,Upminster Bridge,10
Baker Street,St. Johns Wood,2
Shepherds Bush,White City,10
Stonebridge Park,Wembley Central,14
Latimer Road,Wood Lane,4
Harlesden,Stonebridge Park,14
Buckhurst Hill,Woodford,9
Moorgate,Old Street,9
Goldhawk Road,Shepherds Bush Market,2
Camden Town,Kentish Town,8
Notting Hill Gate,Queensway,3
Barons Court,West Kensington,7
Ealing Broadway,West Acton,7
Monument,Tower Hill,8
Chalfont and Latimer,Chorleywood,3
Finsbury Park,Seven Sisters,45
Camden Town,Chalk Farm,12
Aldgate,Liverpool Street,15
Mile End,Stepney Green,6
Alperton,Park Royal,6
Holland Park,Notting Hill Gate,1
Ruislip Gardens,West Ruislip,9
Sudbury Hill,Sudbury Town,6
Belsize Park,Hampstead,3
Neasden,Wembley Park,17
Moor Park,Rickmansworth,1
Kennington,Waterloo,20
Covent Garden,Holborn,1
Gloucester Road,High Street Kensington,4
Ealing Common,North Ealing,2
North Ealing,Park Royal,1
Waterloo,Westminster,16
Euston,Warren Street,7
Earls Court,High Street Kensington,16
Paddington,Royal Oak,16
Kenton,South Kenton,13
Eastcote,Ruislip Manor,3
Gunnersbury,Kew Gardens,5
