Source Station,Target Station,Weight
Barons Court,West Kensington,4
Chancery Lane,St. Pauls,0
Borough,Elephant and Castle,4
Hanger Lane,North Acton,2
Redbridge,Wanstead,2
Buckhurst Hill,Loughton,6
Bethnal Green,Mile End,11
Leytonstone,Snaresbrook,1
Arnos Grove,Bounds Green,22
Buckhurst Hill,Woodford,2
Bermondsey,London Bridge,5
Canning Town,West Ham,25
Rayners Lane,South Harrow,2
Arsenal,Holloway Road,2
Moorgate,Old Street,0
Camden Town,Mornington Crescent,4
Harlesden,Stonebridge Park,1
Waterloo,Westminster,0
Highbury and Islington,Kings Cross St. Pancras,1
Elm Park,Hornchurch,2
Harrow-on-the-Hill,Northwick Park,3
Gloucester Road,High Street Kensington,3
Dollis Hill,Willesden Green,6
Alperton,Park Royal,5
Oxford Circus,Regents Park,1
Euston,Warren Street,3
Moor Park,Rickmansworth,0
Fulham Broadway,West Brompton,5
Oxford Circus,Warren Street,1
Sloane Square,South Kensington,0
Arsenal,Finsbury Park,15
Ealing Broadway,West Acton,13
Balham,Clapham South,9
Colindale,Hendon Central,25
East Putney,Putney Bridge,5
Epping,Theydon Bois,16
Holland Park,Shepherds Bush,0
Kensal Green,Queens Park,0
Ealing Common,North Ealing,1
Charing Cross,Embankment,8
Pimlico,Vauxhall,1
Holborn,Russell Square,0
Hyde Park Corner,Knightsbridge,0
Becontree,Dagenham Heathway,24
Greenford,Perivale,1
Fairlop,Hainault,2
Fulham Broadway,Parsons Green,2
Brent Cross,Golders Green,11
Baker Street,Marylebone,1
Wimbledon,Wimbledon Park,4
Ladbroke Grove,Westbourne Park,2
Baker Street,St. Johns Wood,1
Baker Street,Regents Park,0
Stockwell,Vauxhall,0
Oval,Stockwell,1
Baker Street,Great Portland Street,3
Chalfont and Latimer,Chorleywood,3
Leyton,Leytonstone,5
Lancaster Gate,Marble Arch,0
Barking,Upney,38
Hounslow Central,Hounslow East,0
Ravenscourt Park,Stamford Brook,0
Plaistow,West Ham,2
Paddington,Warwick Avenue,1
Caledonian Road,Holloway Road,2
Euston Square,Kings Cross St. Pancras,3
Parsons Green,Putney Bridge,1
Chigwell,Roding Valley,1
Balham,Tooting Bec,12
North Acton,West Acton,0
Mile End,Stratford,7
Hatton Cross,Heathrow Terminals 1 2 3,4
Mile End,Stepney Green,2
Croxley,Watford,1
North Ealing,Park Royal,1
Green Park,Oxford Circus,1
Dollis Hill,Neasden,5
Bond Street,Green Park,5
Tooting Bec,Tooting Broadway,3
Burnt Oak,Colindale,40
Gants Hill,Redbridge,18
Stratford,West Ham,8
Chigwell,Grange Hill,2
Ruislip Gardens,South Ruislip,2
Ladbroke Grove,Latimer Road,1
Harlesden,Willesden Junction,3
Bond Street,Marble Arch,0
Kings Cross St. Pancras,Russell Square,0
Edgware Road (Bakerloo),Paddington,3
Blackfriars,Mansion House,2
Moor Park,Northwood,0
Farringdon,Kings Cross St. Pancras,6
South Harrow,Sudbury Hill,1
Boston Manor,Osterley,2
Barkingside,Newbury Park,3
Kentish Town,Tufnell Park,0
Finchley Road,Wembley Park,3
East Finchley,Highgate,6
Embankment,Waterloo,8
Bounds Green,Wood Green,15
Blackfriars,Temple,0
Archway,Tufnell Park,6
Barons Court,Earls Court,14
Greenford,Northolt,7
Harrow-on-the-Hill,West Harrow,1
Baker Street,Bond Street,6
Canons Park,Stanmore,6
Leicester Square,Piccadilly Circus,1
Grange Hill,Hainault,3
East Acton,North Acton,8
East Putney,Southfields,9
Kennington,Waterloo,3
Green Park,Victoria,4
Euston,Kings Cross St. Pancras,8
Finchley Road,West Hampstead,3
Turnpike Lane,Wood Green,8
East Finchley,Finchley Central,15
Northolt,South Ruislip,3
Camden Town,Chalk Farm,7
Elephant and Castle,Lambeth North,5
Amersham,Chalfont and Latimer,6
Preston Road,Wembley Park,1
Finsbury Park,Highbury and Islington,7
Barbican,Farringdon,3
Holland Park,Notting Hill Gate,0
Bow Road,Mile End,11
Oxford Circus,Piccadilly Circus,0
Acton Town,Turnham Green,14
Finsbury Park,Seven Sisters,25
Brent Cross,Hendon Central,1
Barbican,Moorgate,0
Goodge Street,Warren Street,1
Clapham North,Stockwell,3
Eastcote,Ruislip Manor,2
Canning Town,North Greenwich,19
Borough,London Bridge,3
Kew Gardens,Richmond,1
Stonebridge Park,Wembley Central,2
Croxley,Moor Park,1
Leicester Square,Tottenham Court Road,0
St. Jamess Park,Victoria,2
Golders Green,Hampstead,3
Shepherds Bush,White City,0
Manor House,Turnpike Lane,2
Embankment,Westminster,3
Bayswater,Notting Hill Gate,1
Oakwood,Southgate,4
Gloucester Road,South Kensington,2
Blackhorse Road,Tottenham Hale,38
Roding Valley,Woodford,2
Kingsbury,Queensbury,0
Oxford Circus,Tottenham Court Road,1
Bond Street,Oxford Circus,5
Gunnersbury,Turnham Green,0
St. Johns Wood,Swiss Cottage,0
Blackhorse Road,Walthamstow Central,23
Monument,Liverpool Street,5
Colliers Wood,Tooting Broadway,16
Monument,London Bridge,4
Southfields,Wimbledon Park,1
Hatton Cross,Hounslow West,1
Hillingdon,Ickenham,1
Chancery Lane,Holborn,0
Charing Cross,Leicester Square,3
Debden,Loughton,7
Aldgate East,Tower Hill,1
Finsbury Park,Manor House,15
Bermondsey,Canada Water,8
Aldgate East,Whitechapel,2
Paddington,Royal Oak,0
Baker Street,Finchley Road,9
Pimlico,Victoria,0
Northwick Park,Preston Road,0
Bow Road,Bromley-by-Bow,4
East Ham,Upton Park,33
Snaresbrook,South Woodford,1
Lancaster Gate,Queensway,0
Hillingdon,Uxbridge,2
Kensal Green,Willesden Junction,4
Archway,Highgate,8
Cockfosters,Oakwood,5
Angel,Old Street,3
Clapham Common,Clapham South,9
Dagenham East,Elm Park,13
Brixton,Stockwell,44
Upminster,Upminster Bridge,0
